序号,单词,词性,音标,中文意思,简易英文例句,主题
272,bow,v./n.,/baʊ/,鞠躬；弓,The actors bowed to the audience after show.,文学、艺术与娱乐
273,bowl,n.,/bəʊl/,碗,He ate a big bowl of tomato beef soup.,饮食、健康与运动
274,box,n./v.,/bɒks/,箱子；盒子；拳击,The old photos are kept in a wooden box.,文学、艺术与娱乐
275,boxing,n.,/ˈbɒksɪŋ/,拳击运动,Boxing requires great strength and speed.,饮食、健康与运动
276,boy,n.,/bɔɪ/,男孩,The boy is working hard on math geometry.,人际关系与社交
277,boycott,v./n.,/ˈbɔɪkɒt/,联合抵制；拒绝参与,They decided to boycott the plastic products.,自然、环境与航天
278,brain,n.,/breɪn/,大脑；智力,Reading is a good exercise for the brain.,学校生活与教育
279,brake,n./v.,/breɪk/,闸；刹车,The driver hit the brake to stop the car.,旅游、交通与综合高频
280,branch,n.,/brɑːntʃ/,树枝；分支机构,The bank opened a new branch in Hangzhou.,经济、商务与财政
281,brand,n.,/brænd/,品牌；商标,This is a famous global brand of laptops.,经济、商务与财政
282,brave,adj.,/breɪv/,勇敢的,The brave firefighter saved the little girl.,个人情况与情感
283,bravery,n.,/ˈbreɪvəri/,勇敢，勇气,The medal was awarded for his great bravery.,个人情况与情感
284,bread,n.,/bred/,面包,I usually have bread and butter for lunch.,饮食、健康与运动
285,break,v./n.,/breɪk/,打破；弄碎；休息,Let's take a short break after this task.,职场、工作与生涯规划
286,breakable,adj.,/ˈbreɪkəbl/,易碎的,Be careful with these breakable glass cups.,科技、网络与现代生活
287,breakdown,n.,/ˈbreakdaʊn/,故障；崩溃,The car breakdown caused a huge traffic jam.,旅游、交通与综合高频
288,breakfast,n.,/ˈbrekfəst/,早餐,"Don't skip breakfast, it is vital for health.",饮食、健康与运动
289,breakthrough,n.,/ˈbreɪkθruː/,突破,Scientists made a breakthrough in AI chips.,科技、网络与现代生活
290,breast,n.,/brest/,胸部；胸怀,The baby was sleeping against her breast.,饮食、健康与运动
291,breath,n.,/breθ/,呼吸；气息,He took a deep breath before jumping down.,饮食、健康与运动
292,breathe,v.,/briːð/,呼吸,We need to breathe fresh air every day.,自然、环境与航天
293,breathless,adj.,/ˈbreθləs/,气喘吁吁的,He ran so fast that he was left breathless.,饮食、健康与运动
294,brick,n.,/brɪk/,砖，砖块,The house was built of solid red bricks.,科技、网络与现代生活
295,bride,n.,/braɪd/,新娘,The bride looked beautiful in her white dress.,人际关系与社交
296,bridegroom,n.,/ˈbraɪdɡruːm/,新郎,The bridegroom smiled happily at the guests.,人际关系与社交
297,bridge,n./v.,/brɪdʒ/,桥；桥梁,A modern bridge connects the two districts.,旅游、交通与综合高频
298,brief,adj.,/briːf/,简短的；短暂的,Please give me a brief summary of the book.,学校生活与教育
